No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"258","TXRH","Texas Roadhouse, Inc.","12.80B","193.47","-0.07%","5.83B"
"259","ASND","Ascendis Pharma A/S","12.79B","208.40","-3.09%","758.59M"
"260","COKE","Coca-Cola Consolidated, Inc.","12.76B","149.38","-0.97%","7.07B"
"261","AGNC","AGNC Investment Corp.","12.72B","11.86","1.54%","956.00M"
"262","TEM","Tempus AI, Inc.","12.66B","71.16","3.25%","1.11B"
"263","ALGN","Align Technology, Inc.","12.43B","173.21","1.01%","3.98B"
"264","BSY","Bentley Systems, Incorporated","12.39B","39.42","0.90%","1.46B"
"265","IONS","Ionis Pharmaceuticals, Inc.","12.31B","76.02","-1.54%","966.96M"
"266","AGNCM","AGNC Investment Corp.","12.18B","24.87","0.09%","956.00M"
"267","HAS","Hasbro, Inc.","12.08B","86.11","-0.90%","4.36B"
"268","EXEL","Exelixis, Inc.","11.90B","44.22","-2.68%","2.29B"
"269","AMKR","Amkor Technology, Inc.","11.81B","47.77","-2.91%","6.45B"
"270","WYNN","Wynn Resorts, Limited","11.80B","114.60","-2.36%","7.11B"
"271","DOCU","DocuSign, Inc.","11.54B","57.60","-3.50%","3.16B"
"272","RMBS","Rambus Inc.","11.50B","106.86","3.68%","678.49M"
"273","MDGL","Madrigal Pharmaceuticals, Inc.","11.44B","503.56","1.55%","740.64M"
"274","LSCC","Lattice Semiconductor Corporation","11.36B","83.08","-2.52%","494.89M"
"275","DRS","Leonardo DRS, Inc.","11.27B","42.36","0.24%","3.57B"
"276","RNA","Avidity Biosciences, Inc.","10.93B","72.53","-0.10%","20.87M"
"277","CFLT","Confluent, Inc.","10.89B","30.55","0.05%","1.11B"
"278","FIVE","Five Below, Inc.","10.88B","197.27","-0.39%","4.43B"
"279","STRL","Sterling Infrastructure, Inc.","10.74B","349.61","3.95%","2.23B"
"280","TECH","Bio-Techne Corporation","10.74B","68.90","-1.52%","1.22B"
"281","SEIC","SEI Investments Company","10.62B","86.22","-0.37%","2.25B"
"282","BMRN","BioMarin Pharmaceutical Inc.","10.59B","55.10","0.05%","3.09B"
"283","JAZZ","Jazz Pharmaceuticals plc","10.42B","171.54","0.22%","4.16B"
"284","ENSG","The Ensign Group, Inc.","10.40B","180.75","-1.52%","4.83B"
"285","SAIL","SailPoint, Inc.","10.40B","18.51","-2.06%","1.02B"
"286","MANH","Manhattan Associates, Inc.","10.39B","172.36","-1.83%","1.07B"
"287","TTMI","TTM Technologies, Inc.","10.37B","100.39","-0.51%","2.78B"
"288","CART","Maplebear Inc.","10.34B","39.39","-1.06%","3.63B"
"289","APLD","Applied Digital Corporation","10.30B","36.85","4.63%","263.99M"
"290","AAL","American Airlines Group Inc.","10.21B","15.47","-1.53%","54.29B"
"291","POOL","Pool Corporation","9.96B","267.37","-0.09%","5.29B"
"292","WTFC","Wintrust Financial Corporation","9.83B","146.73","0.23%","2.56B"
"293","SITM","SiTime Corporation","9.81B","375.89","6.33%","281.49M"
"294","PPC","Pilgrim's Pride Corporation","9.79B","41.21","-1.01%","18.35B"
"295","CHYM","Chime Financial, Inc.","9.73B","25.97","0.48%","2.07B"
"296","TTEK","Tetra Tech, Inc.","9.67B","37.02","-0.40%","4.62B"
"297","SANM","Sanmina Corporation","9.66B","177.01","1.50%","8.13B"
"298","TIGO","Millicom International Cellular S.A.","9.64B","57.68","2.94%","5.59B"
"299","FYBR","Frontier Communications Parent, Inc.","9.63B","38.49","0.12%","6.11B"
"300","AEIS","Advanced Energy Industries, Inc.","9.60B","254.42","-1.12%","1.72B"
"301","SOLS","Solstice Advanced Materials, Inc.","9.59B","60.44","-0.12%","3.81B"
"302","ABVX","ABIVAX Société Anonyme","9.36B","116.55","-0.21%","6.23M"
"303","UMBF","UMB Financial Corporation","9.33B","122.86","-0.36%","2.22B"
"304","HSIC","Henry Schein, Inc.","9.31B","79.09","1.29%","12.94B"
"305","SAIA","Saia, Inc.","9.31B","350.24","-2.37%","3.23B"
"306","LINE","Lineage, Inc.","9.28B","36.60","0.38%","5.36B"
"307","STEP","StepStone Group Inc.","9.22B","77.33","2.02%","1.54B"
"308","APA","APA Corporation","9.20B","25.93","-0.31%","9.38B"
"309","RGEN","Repligen Corporation","9.18B","163.09","0.87%","707.89M"
"310","SFD","Smithfield Foods, Inc.","9.16B","23.31","-0.43%","15.26B"
"311","ONB","Old National Bancorp","9.15B","23.41","0.49%","2.11B"
"312","AUR","Aurora Innovation, Inc.","9.14B","4.725","3.39%","2.00M"
"313","DOX","Amdocs Limited","9.02B","83.55","-0.88%","4.53B"
