No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"313","EQT","EQT Corporation","31.70B","50.79","1.74%","7.71B"
"314","KB","KB Financial Group Inc.","31.48B","88.57","-0.57%","10.60B"
"315","EME","EMCOR Group, Inc.","31.43B","702.16","2.94%","16.24B"
"316","ADM","Archer-Daniels-Midland Company","31.30B","65.14","-2.15%","83.21B"
"317","QSR","Restaurant Brands International Inc.","31.29B","68.79","-1.06%","9.26B"
"318","VIK","Viking Holdings Ltd","30.99B","69.85","-0.50%","6.13B"
"319","WIT","Wipro Limited","30.85B","2.755","-7.24%","10.12B"
"320","VICI","VICI Properties Inc.","30.80B","28.82","1.41%","3.97B"
"321","WDS","Woodside Energy Group Ltd","30.21B","15.90","0.86%","13.78B"
"322","ROL","Rollins, Inc.","30.05B","62.46","0.47%","3.68B"
"323","MTD","Mettler-Toledo International Inc.","29.93B","1,465.11","-2.10%","3.94B"
"324","LEN.B","Lennar Corporation","29.84B","107.80","-2.83%","34.19B"
"325","SYF","Synchrony Financial","29.39B","81.59","5.01%","9.65B"
"326","LEN","Lennar Corporation","29.15B","118.00","-3.48%","34.19B"
"327","HPE","Hewlett Packard Enterprise Company","29.01B","21.74","-0.98%","34.30B"
"328","STLA","Stellantis N.V.","29.00B","9.74","-2.84%","171.61B"
"329","PHG","Koninklijke Philips N.V.","28.79B","29.72","-1.49%","20.86B"
"330","NRG","NRG Energy, Inc.","28.78B","150.18","-5.25%","29.78B"
"331","DOV","Dover Corporation","28.28B","206.18","0.16%","7.92B"
"332","DTE","DTE Energy Company","28.12B","135.40","0.59%","14.82B"
"333","IRM","Iron Mountain Incorporated","28.05B","94.89","2.40%","6.64B"
"334","AEE","Ameren Corporation","27.99B","103.47","0.22%","8.64B"
"335","ATO","Atmos Energy Corporation","27.52B","170.12","-0.09%","4.70B"
"336","HAL","Halliburton Company","27.50B","32.67","-0.34%","22.14B"
"337","NMR","Nomura Holdings, Inc.","27.42B","9.28","-1.22%","13.47B"
"338","AXIA","AXIA Energia SA","27.31B","9.49","-1.04%","8.00B"
"339","BRO","Brown & Brown, Inc.","27.30B","79.95","0.25%","5.35B"
"340","CQP","Cheniere Energy Partners, L.P.","27.16B","56.11","0.63%","10.31B"
"341","TDY","Teledyne Technologies Incorporated","27.15B","578.36","1.52%","6.01B"
"342","FE","FirstEnergy Corp.","27.13B","46.97","0.86%","14.28B"
"343","PPL","PPL Corporation","27.09B","36.62","2.55%","8.98B"
"344","STZ","Constellation Brands, Inc.","27.04B","155.93","-1.78%","9.38B"
"345","TPR","Tapestry, Inc.","26.98B","131.83","-0.92%","7.21B"
"346","EFX","Equifax Inc.","26.84B","219.29","0.04%","5.94B"
"347","JBL","Jabil Inc.","26.63B","252.22","-0.38%","31.11B"
"348","CFG","Citizens Financial Group, Inc.","26.30B","61.24","1.03%","7.44B"
"349","STE","STERIS plc","26.29B","267.82","-0.17%","5.70B"
"350","ES","Eversource Energy","26.16B","69.73","0.06%","13.15B"
"351","WRB","W. R. Berkley Corporation","26.10B","68.67","-0.06%","14.65B"
"352","MKL","Markel Group Inc.","26.09B","2,069.26","-0.71%","16.21B"
